SPARFA_train_acc	VIBO_train_acc	QFactor_train_acc	Q2Factor_train_acc	SPARFA_train_auc	VIBO_train_auc	QFactor_train_auc	Q2Factor_train_auc	SPARFA_test_acc	VIBO_test_acc	QFactor_test_acc	Q2Factor_test_acc	SPARFA_test_auc	VIBO_test_auc	QFactor_test_auc	Q2Factor_test_auc	SPARFA_sparsity	VIBO_sparsity	QFactor_sparsity	Q2Factor_sparsity	SPARFA_train_time	VIBO_train_time	QFactor_train_time	Q2Factor_train_time	SPARFA_pred_time	VIBO_pred_time	QFactor_pred_time	Q2Factor_pred_time
0.829633	0.815687	0.800077	0.806346	0.929065	0.90206	0.893019	0.903979	0.813105	0.798291	0.8	0.806838	0.91694	0.882312	0.882956	0.898892	0.111111	0	0.533333	0.288889	30.1911	8.03553	2.84919	11.5163	0.61155	0.000208855	0.000151634	0.000167608
0.835982	0.815671	0.804395	0.817401	0.93273	0.90127	0.891122	0.901818	0.839708	0.816085	0.804274	0.823397	0.935113	0.900774	0.8884	0.903358	0.111111	0	0.444444	0.288889	30.0921	9.08819	2.24144	17.8254	0.62143	0.00021553	0.000150204	0.000156641
0.828892	0.818182	0.804985	0.819712	0.928965	0.902144	0.893773	0.902796	0.815882	0.812941	0.797647	0.807059	0.92015	0.893066	0.882184	0.894547	0.133333	0	0.533333	0.311111	30.8011	9.23113	1.88774	11.8714	0.704531	0.00181365	0.000151157	0.000308752
0.833185	0.815039	0.802878	0.813447	0.934722	0.90033	0.893052	0.905405	0.835119	0.826786	0.796429	0.813095	0.935541	0.91128	0.893694	0.906083	0.0888889	0	0.6	0.444444	32.0498	9.4667	1.46271	22.6832	0.646542	0.000216722	0.000154495	0.000164032
0.833578	0.814206	0.8089	0.80826	0.931568	0.900203	0.893722	0.905142	0.828653	0.813181	0.810888	0.802865	0.933256	0.894749	0.895293	0.902381	0.0888889	0	0.555556	0.444444	31.069	9.23804	2.10359	12.6586	0.667707	0.000211	0.000186205	0.000160694
0.83781	0.822279	0.803437	0.82177	0.934834	0.906517	0.893964	0.903884	0.813842	0.800716	0.782816	0.804296	0.91486	0.887887	0.872133	0.887283	0.0888889	0	0.511111	0.288889	31.8831	9.07692	1.9661	19.4818	0.640673	0.00336838	0.000153065	0.000476122
0.831694	0.822758	0.799679	0.818194	0.927192	0.903659	0.890837	0.902167	0.831786	0.826871	0.807755	0.825232	0.92369	0.906995	0.89482	0.903719	0.155556	0	0.466667	0.333333	29.3225	8.75954	2.10914	16.307	0.605833	0.000263691	0.000147581	0.000161409
0.835754	0.819572	0.80804	0.81868	0.932617	0.901525	0.892787	0.901771	0.845562	0.816568	0.804734	0.816568	0.934198	0.903937	0.889956	0.903792	0.111111	0	0.488889	0.311111	30.1297	9.15003	2.01427	13.2861	0.668209	0.00324798	0.000159264	0.000159979
0.824649	0.815292	0.800808	0.812472	0.927693	0.901207	0.891214	0.90267	0.82894	0.825575	0.80931	0.827257	0.924968	0.905063	0.896262	0.910931	0.155556	0	0.511111	0.311111	31.5267	8.62267	2.92425	17.4558	0.672351	0.000244141	0.000152111	0.000152826
0.836424	0.822995	0.805282	0.821461	0.932281	0.904809	0.893395	0.903834	0.809497	0.802059	0.786613	0.795767	0.91399	0.883939	0.875367	0.889942	0.177778	0	0.511111	0.311111	32.0435	8.93094	2.2714	12.3479	0.64506	0.00131607	0.000147581	0.000153542
