SPARFA_train_acc	VIBO_train_acc	QFactor_train_acc	Q2Factor_train_acc	SPARFA_train_auc	VIBO_train_auc	QFactor_train_auc	Q2Factor_train_auc	SPARFA_test_acc	VIBO_test_acc	QFactor_test_acc	Q2Factor_test_acc	SPARFA_test_auc	VIBO_test_auc	QFactor_test_auc	Q2Factor_test_auc	SPARFA_sparsity	VIBO_sparsity	QFactor_sparsity	Q2Factor_sparsity	SPARFA_train_time	VIBO_train_time	QFactor_train_time	Q2Factor_train_time	SPARFA_pred_time	VIBO_pred_time	QFactor_pred_time	Q2Factor_pred_time
0.796103	0.77519	0.769487	0.769011	0.875262	0.849474	0.841178	0.843414	0.8	0.785366	0.75122	0.75122	0.889689	0.846678	0.820661	0.825461	0.117647	0	0.323529	0.205882	2.567	1.2359	0.295596	0.879619	0.0562899	0.000179052	0.000146151	0.000125885
0.791151	0.759753	0.764034	0.774025	0.869836	0.839376	0.843922	0.844724	0.806763	0.772947	0.768116	0.782609	0.8524	0.825978	0.835221	0.844125	0.147059	0	0.382353	0.294118	2.56978	1.21244	0.211726	0.965314	0.0393596	0.000181437	0.000123978	0.000127792
0.788991	0.774988	0.764365	0.763882	0.877667	0.853708	0.846498	0.847425	0.785714	0.773109	0.794118	0.760504	0.817585	0.798884	0.810572	0.813664	0.117647	0	0.441176	0.294118	2.62468	1.23021	0.341481	0.95156	0.0461445	0.000176907	0.000124454	0.000123262
0.805077	0.770115	0.779215	0.786398	0.883322	0.849631	0.850268	0.846469	0.705882	0.728507	0.687783	0.705882	0.783459	0.79741	0.7868	0.763283	0.147059	0	0.411765	0.205882	2.8077	1.09402	0.180858	1.18735	0.0378017	0.00017786	0.000134468	0.000193596
0.791851	0.763868	0.771232	0.769759	0.876782	0.839633	0.847133	0.848432	0.783088	0.738971	0.746324	0.761029	0.835142	0.808427	0.812657	0.792008	0.117647	0	0.352941	0.352941	2.65243	1.2321	0.297962	0.936974	0.0544555	0.000178576	5.65052e-05	5.17368e-05
0.804526	0.768897	0.76986	0.776119	0.881451	0.848444	0.850398	0.850106	0.741379	0.737069	0.758621	0.724138	0.805481	0.837739	0.81586	0.814367	0.117647	0	0.323529	0.176471	2.70964	1.19565	0.20436	2.05709	0.0416572	0.00017786	0.000187635	0.0001266
0.790878	0.763222	0.765648	0.761281	0.881764	0.843965	0.836597	0.845486	0.766129	0.766129	0.770161	0.770161	0.855593	0.838495	0.836457	0.85819	0.0588235	0	0.382353	0.235294	2.72907	1.19586	0.201733	0.924846	0.0265179	0.000183821	0.000123262	0.000127316
0.801055	0.767498	0.767018	0.769895	0.876686	0.842881	0.848367	0.852687	0.757848	0.704036	0.726457	0.735426	0.78815	0.755925	0.750639	0.762148	0.0588235	0	0.441176	0.235294	2.54701	1.23505	0.208194	0.497671	0.0509558	0.000180006	0.000126839	0.000146627
0.787011	0.768863	0.768386	0.765043	0.880785	0.847835	0.84644	0.847746	0.781395	0.75814	0.75814	0.739535	0.809714	0.805714	0.806667	0.803714	0.117647	0	0.382353	0.235294	2.7675	1.10571	0.221704	0.598644	0.0402241	0.000218868	0.00012517	0.000134706
0.791363	0.756429	0.770985	0.768074	0.869488	0.836614	0.839225	0.838782	0.794355	0.754032	0.794355	0.774194	0.835964	0.833367	0.857276	0.857609	0.147059	0	0.411765	0.323529	2.56581	1.02022	0.270544	0.541378	0.040674	0.000180244	0.000178814	0.000121117
