SPARFA_train_acc	VIBO_train_acc	QFactor_train_acc	Q2Factor_train_acc	SPARFA_train_auc	VIBO_train_auc	QFactor_train_auc	Q2Factor_train_auc	SPARFA_test_acc	VIBO_test_acc	QFactor_test_acc	Q2Factor_test_acc	SPARFA_test_auc	VIBO_test_auc	QFactor_test_auc	Q2Factor_test_auc	SPARFA_sparsity	VIBO_sparsity	QFactor_sparsity	Q2Factor_sparsity	SPARFA_train_time	VIBO_train_time	QFactor_train_time	Q2Factor_train_time	SPARFA_pred_time	VIBO_pred_time	QFactor_pred_time	Q2Factor_pred_time
0.967197	0.907412	0.865428	0.887707	0.996947	0.972316	0.951843	0.975918	0.957576	0.907071	0.857576	0.885859	0.995642	0.970593	0.94874	0.975805	0.3	0	0.62	0.56	33.3303	4.81032	0.637191	4.9942	0.695647	0.000187397	0.000109434	0.000124216
0.961664	0.903092	0.862057	0.892974	0.996502	0.970211	0.951753	0.979047	0.957157	0.88705	0.849075	0.885102	0.995777	0.956554	0.943482	0.97567	0.3	0	0.56	0.5	30.5655	4.56297	0.605824	2.23055	0.682216	0.000186205	0.00011301	0.000118971
0.951597	0.905322	0.83451	0.896359	0.995884	0.971687	0.946171	0.978672	0.945838	0.883651	0.812437	0.88666	0.994792	0.961263	0.9339	0.976346	0.36	0	0.64	0.52	30.734	4.53396	0.690473	3.29238	0.604403	0.000186443	0.000108242	0.000125408
0.962909	0.898753	0.841724	0.899309	0.996201	0.968837	0.941861	0.97918	0.952331	0.887712	0.838983	0.894068	0.993203	0.967758	0.939936	0.976001	0.32	0	0.56	0.48	31.1179	4.532	0.685281	2.11365	0.651611	0.000196934	0.000113487	0.000121117
0.960993	0.906002	0.842294	0.899184	0.996273	0.973321	0.943814	0.978601	0.966154	0.917949	0.843077	0.89641	0.997692	0.977859	0.948088	0.980055	0.32	0	0.56	0.48	30.8191	4.54544	0.591482	2.71142	0.631737	0.000191689	0.000110626	0.000123978
0.961276	0.897706	0.855288	0.912255	0.996641	0.970303	0.946857	0.979673	0.961499	0.889564	0.85613	0.914894	0.996887	0.968886	0.947843	0.977015	0.26	0	0.6	0.58	29.4881	5.22864	1.00148	5.11516	0.68751	0.000266552	0.000112295	0.000121832
0.960822	0.898294	0.87225	0.89167	0.996848	0.968208	0.951525	0.979478	0.93787	0.874753	0.849112	0.878698	0.994104	0.9563	0.940368	0.977023	0.4	0	0.66	0.54	31.1423	4.53084	0.655421	3.84189	0.629675	0.000187635	0.000109673	0.000118971
0.958711	0.901197	0.859573	0.888218	0.99646	0.97214	0.954447	0.975875	0.95736	0.884264	0.838579	0.898477	0.996187	0.965507	0.949722	0.977068	0.38	0	0.66	0.5	30.144	4.53532	0.774424	4.49612	0.615803	0.000188112	0.000108957	0.000119209
0.963175	0.88975	0.847985	0.903896	0.996617	0.969991	0.948349	0.979619	0.953695	0.86798	0.834483	0.89064	0.995006	0.95542	0.941043	0.97642	0.36	0	0.66	0.58	30.1668	4.51731	0.529899	2.67334	0.632179	0.000186682	0.000110865	0.0001266
0.963398	0.903291	0.841392	0.898814	0.996561	0.969838	0.943805	0.976917	0.965587	0.890688	0.856275	0.896761	0.996698	0.962456	0.950126	0.976015	0.3	0	0.6	0.58	30.0951	4.55167	0.595214	3.14977	0.651986	0.00019002	0.000110149	0.000120163
