SPARFA_train_acc	VIBO_train_acc	QFactor_train_acc	Q2Factor_train_acc	SPARFA_train_auc	VIBO_train_auc	QFactor_train_auc	Q2Factor_train_auc	SPARFA_test_acc	VIBO_test_acc	QFactor_test_acc	Q2Factor_test_acc	SPARFA_test_auc	VIBO_test_auc	QFactor_test_auc	Q2Factor_test_auc	SPARFA_sparsity	VIBO_sparsity	QFactor_sparsity	Q2Factor_sparsity	SPARFA_train_time	VIBO_train_time	QFactor_train_time	Q2Factor_train_time	SPARFA_pred_time	VIBO_pred_time	QFactor_pred_time	Q2Factor_pred_time
0.860952	0.792381	0.826667	0.806667	0.942035	0.878769	0.891736	0.897564	0.786325	0.786325	0.760684	0.752137	0.880896	0.849851	0.83194	0.837313	0.238095	0	0.5	0.428571	2.56066	0.716949	0.103765	0.599206	0.0337312	0.000229597	0.000102282	0.00010252
0.842654	0.806635	0.801896	0.83128	0.939524	0.884194	0.880435	0.900834	0.8125	0.839286	0.803571	0.821429	0.890411	0.89287	0.836319	0.841939	0.190476	0	0.47619	0.333333	2.11019	0.715988	0.13463	0.799494	0.0334535	0.000273705	0.000110388	0.000110865
0.861804	0.799424	0.794626	0.822457	0.940599	0.87931	0.886177	0.889971	0.784	0.744	0.72	0.752	0.855531	0.809576	0.79967	0.836819	0.190476	0	0.5	0.357143	2.40864	0.737132	0.156099	0.682662	0.0366991	0.000173092	8.51154e-05	0.000931978
0.864916	0.792683	0.792683	0.805816	0.940341	0.862057	0.881915	0.895067	0.851485	0.821782	0.811881	0.831683	0.902546	0.848112	0.855575	0.881475	0.166667	0	0.47619	0.380952	2.23546	0.753955	0.11198	0.616635	0.0339737	0.000172138	0.000108719	0.00010848
0.859449	0.778727	0.811966	0.819563	0.939203	0.868616	0.88311	0.890574	0.807018	0.789474	0.780702	0.824561	0.890137	0.882415	0.886276	0.890137	0.214286	0	0.47619	0.261905	2.21867	0.739091	0.231693	0.805194	0.0333712	0.000180483	0.000108957	0.000107527
0.855225	0.78907	0.814957	0.815916	0.933201	0.873462	0.890069	0.899956	0.790323	0.733871	0.733871	0.766129	0.877314	0.796905	0.821774	0.84084	0.142857	0	0.47619	0.333333	2.36792	0.740768	0.135313	0.684284	0.0368631	0.00017333	8.82149e-05	0.000132561
0.854947	0.785783	0.817483	0.822286	0.946525	0.862099	0.89194	0.894398	0.722222	0.706349	0.68254	0.714286	0.831601	0.790021	0.759096	0.777547	0.119048	0	0.47619	0.404762	2.30274	0.603794	0.1647	0.440862	0.0183392	0.000174284	4.62532e-05	4.86374e-05
0.853167	0.808061	0.816699	0.793666	0.941697	0.869044	0.887216	0.89722	0.8	0.792	0.824	0.776	0.900454	0.851957	0.854793	0.844583	0.190476	0	0.47619	0.333333	2.29154	0.740017	0.150587	0.88297	0.0351264	0.00542402	8.53539e-05	9.65595e-05
0.847826	0.787335	0.804348	0.826087	0.936415	0.870592	0.885474	0.888859	0.816514	0.761468	0.724771	0.733945	0.897199	0.818306	0.834358	0.829235	0.190476	0	0.428571	0.309524	2.34887	0.689922	0.112572	0.852968	0.0340812	0.000173807	0.00014019	0.00400043
0.840456	0.789174	0.804368	0.815764	0.934843	0.867743	0.878449	0.889831	0.824561	0.798246	0.72807	0.745614	0.907972	0.889812	0.821176	0.882579	0.190476	0	0.52381	0.357143	2.34334	0.665006	0.11881	0.773144	0.0353451	0.00017333	0.000106335	0.000107765
