SPARFA_train_acc	VIBO_train_acc	QFactor_train_acc	Q2Factor_train_acc	SPARFA_train_auc	VIBO_train_auc	QFactor_train_auc	Q2Factor_train_auc	SPARFA_test_acc	VIBO_test_acc	QFactor_test_acc	Q2Factor_test_acc	SPARFA_test_auc	VIBO_test_auc	QFactor_test_auc	Q2Factor_test_auc	SPARFA_sparsity	VIBO_sparsity	QFactor_sparsity	Q2Factor_sparsity	SPARFA_train_time	VIBO_train_time	QFactor_train_time	Q2Factor_train_time	SPARFA_pred_time	VIBO_pred_time	QFactor_pred_time	Q2Factor_pred_time
0.768644	0.752542	0.754237	0.74661	0.847678	0.828208	0.831973	0.83093	0.78	0.74	0.773333	0.76	0.802662	0.7799	0.780961	0.78289	0	0	0.133333	0.133333	0.813867	0.744611	0.0504081	0.161749	0.00924277	0.000164032	6.67572e-05	4.64916e-05
0.783082	0.71273	0.758794	0.752094	0.845168	0.790624	0.829457	0.830758	0.705882	0.691176	0.735294	0.713235	0.797246	0.702199	0.805685	0.794581	0	0	0.0666667	0.0666667	0.567212	0.405256	0.0295157	0.201085	0.00892949	0.00016284	0.000106335	0.000107765
0.761864	0.683051	0.75339	0.75	0.84407	0.753898	0.82754	0.82583	0.813333	0.686667	0.76	0.773333	0.854178	0.788334	0.848363	0.846037	0	0	0.0666667	0.0666667	0.560757	0.404333	0.0313091	0.0608425	0.0068841	0.00015831	4.50611e-05	4.48227e-05
0.779661	0.672034	0.764407	0.752542	0.852412	0.751315	0.837205	0.835556	0.713333	0.68	0.726667	0.746667	0.759933	0.724138	0.738381	0.744378	0	0	0.0666667	0.0666667	0.669468	0.613129	0.0341086	0.168055	0.0102985	0.000161648	4.52995e-05	4.55379e-05
0.783488	0.758214	0.763269	0.765796	0.859329	0.833195	0.835898	0.836672	0.671329	0.685315	0.685315	0.678322	0.743275	0.787579	0.765823	0.747627	0	0	0.0666667	0.0666667	0.913642	0.537754	0.0672252	0.153007	0.0272057	0.000175476	9.799e-05	9.77516e-05
0.769748	0.672269	0.739496	0.747899	0.838178	0.757134	0.822823	0.823217	0.807143	0.664286	0.764286	0.771429	0.881654	0.715807	0.859746	0.839681	0	0	0.0666667	0.0666667	0.954442	0.538402	0.0367587	0.106335	0.0101032	0.000162601	0.000102758	9.94205e-05
0.774818	0.672316	0.755448	0.756255	0.842279	0.748268	0.828756	0.828427	0.769231	0.659341	0.736264	0.758242	0.847195	0.777563	0.822776	0.820841	0	0.133333	0.133333	0.0666667	0.704156	0.408232	0.0323448	0.135237	0.00880146	0.00016427	0.000108957	0.000112295
0.778236	0.687552	0.763397	0.75845	0.842676	0.762118	0.831971	0.831974	0.760684	0.649573	0.692308	0.700855	0.825015	0.677956	0.813725	0.816696	0	0	0.0666667	0.0666667	0.845723	0.558013	0.0695724	0.107633	0.00830197	0.000170231	0.000111818	0.000110865
0.768201	0.758996	0.755649	0.764854	0.849595	0.8262	0.831175	0.835461	0.666667	0.703704	0.688889	0.688889	0.777582	0.774945	0.792747	0.778681	0	0	0.0666667	0.0666667	0.698916	0.593527	0.0295725	0.151112	0.00753856	0.000159502	4.45843e-05	4.52995e-05
0.763201	0.728548	0.743399	0.74505	0.833198	0.801153	0.817193	0.817058	0.838983	0.754237	0.771186	0.762712	0.919089	0.832484	0.877435	0.887324	0.0666667	0	0.0666667	0.0666667	0.567214	0.423331	0.0467319	0.209249	0.00827765	0.00019908	0.000105858	0.000110388
