SPARFA_train_acc	VIBO_train_acc	QFactor_train_acc	Q2Factor_train_acc	SPARFA_train_auc	VIBO_train_auc	QFactor_train_auc	Q2Factor_train_auc	SPARFA_test_acc	VIBO_test_acc	QFactor_test_acc	Q2Factor_test_acc	SPARFA_test_auc	VIBO_test_auc	QFactor_test_auc	Q2Factor_test_auc	SPARFA_sparsity	VIBO_sparsity	QFactor_sparsity	Q2Factor_sparsity	SPARFA_train_time	VIBO_train_time	QFactor_train_time	Q2Factor_train_time	SPARFA_pred_time	VIBO_pred_time	QFactor_pred_time	Q2Factor_pred_time
0.79305	0.766678	0.759777	0.76561	0.841665	0.818937	0.809447	0.809509	0.795833	0.782639	0.772222	0.773611	0.849524	0.836854	0.822902	0.815803	0.09375	0	0.4375	0.3125	15.4174	6.38688	1.03133	18.1535	0.336939	0.000196218	0.000145674	0.000142336
0.791919	0.768317	0.766432	0.764711	0.842112	0.819583	0.814578	0.815759	0.780851	0.759574	0.765248	0.758865	0.838731	0.821996	0.815748	0.814625	0.09375	0	0.375	0.21875	13.6371	5.51902	0.678221	2.38661	0.217394	0.00019598	0.000145435	0.000147104
0.791826	0.772	0.763712	0.772975	0.85007	0.824337	0.813866	0.819599	0.770115	0.75249	0.744061	0.751724	0.834013	0.807639	0.800932	0.807678	0.09375	0	0.40625	0.15625	14.9742	5.97917	0.731601	6.08881	0.286419	0.000207424	0.00014782	0.000150919
0.784476	0.770898	0.760756	0.768853	0.849484	0.820146	0.815909	0.818052	0.795094	0.774892	0.773449	0.77417	0.848023	0.812811	0.81172	0.814096	0.0625	0	0.3125	0.3125	15.7829	6.32276	0.88906	1.2927	0.307617	0.00020051	0.000183105	0.00117183
0.794503	0.771733	0.764983	0.771408	0.848398	0.821004	0.817711	0.820831	0.796198	0.771103	0.758175	0.769582	0.83096	0.794246	0.793509	0.795922	0.03125	0	0.3125	0.1875	14.2654	4.72963	0.662356	5.3518	0.253093	0.000202656	0.000162363	0.000159264
0.78981	0.769987	0.764744	0.770233	0.846343	0.822627	0.815473	0.82002	0.783476	0.771368	0.772792	0.767094	0.822851	0.803071	0.799095	0.802679	0.0625	0	0.34375	0.1875	13.7928	6.11572	0.688413	9.06725	0.250163	0.000487566	0.000146151	0.000149012
0.791328	0.773837	0.764969	0.759762	0.848594	0.822508	0.816572	0.820109	0.769697	0.752273	0.751515	0.735606	0.829586	0.797683	0.801343	0.805068	0.03125	0	0.3125	0.15625	14.366	6.57438	0.869502	7.51958	0.352914	0.000607967	0.000166893	0.000300407
0.792397	0.77158	0.764507	0.772062	0.843467	0.821032	0.811	0.817827	0.784615	0.768376	0.749573	0.751282	0.846812	0.826997	0.810352	0.820925	0.0625	0	0.40625	0.21875	15.9517	6.47848	1.0216	9.2537	0.234067	0.000398874	0.000270844	0.000157356
0.783995	0.773067	0.765673	0.77167	0.85005	0.823671	0.8172	0.817864	0.766829	0.757113	0.751561	0.757113	0.821039	0.797707	0.799658	0.796399	0.0625	0	0.34375	0.1875	12.785	5.66356	0.651011	3.9502	0.256997	0.000202656	0.000150919	0.00015378
0.792798	0.770158	0.761627	0.768354	0.844699	0.817648	0.809184	0.812861	0.801548	0.791696	0.772695	0.783251	0.854421	0.836985	0.827148	0.828599	0.03125	0	0.375	0.125	12.6647	5.08376	0.604164	6.70569	0.232083	0.000195503	0.000144958	0.000152349
