SPARFA_train_acc	VIBO_train_acc	QFactor_train_acc	Q2Factor_train_acc	SPARFA_train_auc	VIBO_train_auc	QFactor_train_auc	Q2Factor_train_auc	SPARFA_test_acc	VIBO_test_acc	QFactor_test_acc	Q2Factor_test_acc	SPARFA_test_auc	VIBO_test_auc	QFactor_test_auc	Q2Factor_test_auc	SPARFA_sparsity	VIBO_sparsity	QFactor_sparsity	Q2Factor_sparsity	SPARFA_train_time	VIBO_train_time	QFactor_train_time	Q2Factor_train_time	SPARFA_pred_time	VIBO_pred_time	QFactor_pred_time	Q2Factor_pred_time
0.884872	0.858037	0.829221	0.857046	0.970228	0.939388	0.928087	0.948251	0.869753	0.860337	0.819929	0.851707	0.96336	0.937476	0.921719	0.947322	0.216667	0	0.616667	0.416667	55.7228	10.5057	2.31233	29.2938	1.17443	0.00028348	0.000197887	0.000170469
0.887145	0.857278	0.836947	0.859347	0.97124	0.939096	0.928878	0.945402	0.870598	0.840522	0.82588	0.844875	0.962812	0.927074	0.917801	0.935345	0.2	0	0.55	0.416667	59.8146	8.88758	2.60683	16.9828	1.1893	0.000246048	0.000171423	0.00026083
0.885293	0.863314	0.839311	0.848481	0.964953	0.941691	0.928955	0.943264	0.88411	0.85902	0.846675	0.85225	0.960727	0.94085	0.933348	0.947747	0.15	0	0.566667	0.416667	60.0448	8.33267	2.83809	27.918	0.891889	0.000345469	0.000160933	0.000169516
0.8831	0.856402	0.827065	0.84947	0.969743	0.938433	0.922064	0.947114	0.8799	0.854879	0.824437	0.846956	0.96635	0.937972	0.921077	0.944908	0.183333	0	0.533333	0.433333	50.875	7.55224	2.06087	13.5881	0.722941	0.000241518	0.000149727	0.000162363
0.891972	0.859555	0.837868	0.858118	0.970454	0.939307	0.927959	0.945199	0.902292	0.877362	0.858062	0.870125	0.977186	0.947073	0.937729	0.951771	0.233333	0	0.6	0.4	40.476	9.09156	2.35526	12.4324	0.798581	0.000314474	0.000156879	0.000160694
0.8918	0.860982	0.833393	0.861789	0.970663	0.940257	0.924473	0.946558	0.89542	0.86664	0.839076	0.858127	0.973012	0.944959	0.925774	0.94561	0.2	0	0.583333	0.466667	38.8255	7.48931	2.0239	17.0698	0.757889	0.000257015	0.000154018	0.000174284
0.876638	0.859754	0.846202	0.859304	0.968619	0.94022	0.929446	0.94866	0.86303	0.846939	0.840659	0.849686	0.96242	0.9308	0.920338	0.942722	0.233333	0	0.55	0.45	39.0233	8.60698	2.10383	16.3391	1.53687	0.000259399	0.000159502	0.00016284
0.893146	0.859057	0.846239	0.851847	0.9712	0.939897	0.930899	0.945824	0.884229	0.848842	0.838794	0.847095	0.970161	0.928221	0.92688	0.941662	0.2	0	0.583333	0.433333	42.0247	9.43415	2.91167	13.5942	0.823248	0.000264168	0.000164986	0.000163555
0.888989	0.860507	0.833685	0.860013	0.971574	0.939515	0.927215	0.945499	0.89164	0.868912	0.84375	0.865666	0.970583	0.94206	0.934223	0.948778	0.2	0	0.566667	0.416667	41.2655	7.84278	2.06113	27.0598	0.764283	0.000255346	0.000151157	0.00016737
0.893165	0.860971	0.845549	0.859128	0.972626	0.940903	0.930283	0.944443	0.883287	0.853116	0.827312	0.854704	0.967021	0.93081	0.915521	0.939835	0.2	0	0.516667	0.45	42.3604	8.46545	3.27824	12.0995	0.937753	0.000257492	0.000162601	0.000172138
