SPARFA_train_acc	VIBO_train_acc	QFactor_train_acc	Q2Factor_train_acc	SPARFA_train_auc	VIBO_train_auc	QFactor_train_auc	Q2Factor_train_auc	SPARFA_test_acc	VIBO_test_acc	QFactor_test_acc	Q2Factor_test_acc	SPARFA_test_auc	VIBO_test_auc	QFactor_test_auc	Q2Factor_test_auc	SPARFA_sparsity	VIBO_sparsity	QFactor_sparsity	Q2Factor_sparsity	SPARFA_train_time	VIBO_train_time	QFactor_train_time	Q2Factor_train_time	SPARFA_pred_time	VIBO_pred_time	QFactor_pred_time	Q2Factor_pred_time
0.866894	0.84494	0.841855	0.850782	0.950914	0.925309	0.915971	0.930441	0.872798	0.862361	0.857795	0.86334	0.954812	0.931442	0.921804	0.933887	0.142857	0	0.547619	0.333333	42.3904	12.2843	2.25389	7.96535	0.87151	0.000260592	0.000154972	0.000172615
0.87275	0.853368	0.841355	0.853005	0.954179	0.927926	0.917661	0.929353	0.839792	0.831651	0.816998	0.826441	0.935101	0.912295	0.901671	0.912669	0.119048	0	0.452381	0.380952	48.4413	10.9086	1.98901	24.0696	0.850988	0.000282526	0.000179768	0.000164747
0.87572	0.850024	0.848356	0.852234	0.952491	0.927116	0.919607	0.927494	0.866425	0.844327	0.836082	0.841689	0.949301	0.923753	0.910336	0.925822	0.190476	0	0.52381	0.428571	39.9781	10.16	2.10754	11.8708	0.766301	0.000259399	0.000156879	0.000172138
0.872441	0.852914	0.844187	0.84986	0.952577	0.926026	0.916566	0.926944	0.873479	0.855221	0.847854	0.855862	0.95543	0.925369	0.921168	0.928402	0.142857	0	0.5	0.428571	43.5144	11.4799	2.68046	11.4451	0.783962	0.000259161	0.00015974	0.000163555
0.87297	0.842309	0.838033	0.851153	0.951668	0.922905	0.915675	0.930675	0.886176	0.852524	0.847245	0.862092	0.957341	0.924296	0.91874	0.935146	0.142857	0	0.47619	0.357143	49.2848	9.97203	2.47967	16.6364	0.831331	0.000259638	0.000161409	0.000166893
0.876641	0.850308	0.840551	0.851832	0.953439	0.924689	0.916732	0.931492	0.873895	0.845398	0.824435	0.839502	0.95099	0.92018	0.910988	0.928073	0.166667	0	0.5	0.333333	38.3591	10.2284	1.97553	10.9459	0.754437	0.000255585	0.000154972	0.000167131
0.877253	0.853386	0.838442	0.852987	0.953054	0.929354	0.916702	0.930784	0.876883	0.850033	0.841847	0.850033	0.953401	0.926672	0.91744	0.931872	0.190476	0	0.5	0.357143	44.8644	12.7247	2.70929	15.6877	1.07138	0.000260353	0.000161409	0.000233889
0.866097	0.853089	0.839462	0.851817	0.953472	0.928516	0.916203	0.930756	0.86368	0.851112	0.837577	0.848211	0.953027	0.928552	0.917145	0.931911	0.119048	0	0.47619	0.357143	43.6567	9.94139	2.09215	8.94883	0.771803	0.000308275	0.00015378	0.0001688
0.865647	0.846252	0.839024	0.850719	0.951987	0.921492	0.916562	0.931168	0.852798	0.840828	0.83177	0.847946	0.948193	0.918151	0.914088	0.929202	0.166667	0	0.547619	0.357143	43.8061	11.1993	2.39617	18.1086	0.810519	0.000267982	0.000160694	0.00016737
0.868407	0.848098	0.835717	0.849437	0.951674	0.923849	0.915795	0.930678	0.869	0.856333	0.852667	0.864	0.947613	0.923507	0.9162	0.931517	0.142857	0	0.452381	0.404762	47.5533	11.5771	2.43842	10.7666	0.884078	0.000264168	0.000156403	0.000163794
